handle,url,plattform,nische_cluster,unter_nische,land_sprache,account_alter_oder_start,erstes_sichtbares_posting,start_datenqualitaet,follower_heute,follower_heute_datum,follower_heute_dq,follower_vor_30d,follower_vor_60d,follower_vor_90d,follower_vor_120d,follower_historie_quelle,follower_historie_dq,posts,posts_dq,posts_pro_woche,median_reel_views,median_dq,top_reel_url,top_reel_views,top_reel_datum,top5_reels,top_reels_dq,anzahl_reels_ueber_1m_bekannt,engagement_hinweis,ai_status,ai_beleg,ai_tools,klasse,emerging_outlier,affiliate_oder_monetarisierung_sichtbar,link_in_bio,quelle_urls,pruefdatum,notizen
grannyspills,https://www.instagram.com/grannyspills/,Instagram,AI Baby/Character,AI Grandma (Sassy-Advice-Charakter),US/EN,Launch 2025-07-04 (Presse/Analyse) -> ca. 14-15 Monate,2025-07 (lt. startupspells; Reel DL8o9HPtwf0 2025-07-11),"THIRD-PARTY OBSERVED (startupspells.com, TIME)",2162172,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),2137442 (2026-08-27),2100159 (2026-07-28),2046576 (2026-06-28),UNKNOWN,"AvatarFactory-Tagesreihe 2026-06-21..09-18; Instastatistics-Snapshots 2026-08-12=2115559, 2026-09-21=2154699; 1M nach 22 Tagen (2025-07-26), 1,8M am 2025-11-14 (startupspells)","THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26); SELF-REPORTED/Presse fuer 2025",193,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"22.2 (ESTIMATED aus letzten 6 Posts, 2026-09-25..2026-09-26)",UNKNOWN (30-Tage-Ø pro Tag 361K Views lt. AvatarFactory),UNKNOWN,https://www.instagram.com/reel/DTdwIm-EuUd/,21060000,2026-01-13,https://www.instagram.com/reel/DTdwIm-EuUd/|21.06M|2026-01-13; https://www.instagram.com/reel/DNvnGemWijH/|12M|2025-08-24; https://www.instagram.com/reel/DcW2J0PihdZ/|3.84M|2026-08-22; https://www.instagram.com/reel/DL8o9HPtwf0/|2.71M|2025-07-11; https://www.instagram.com/reel/Dc8w0HKieK8/|1.53M|2026-09-06,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",5 (davon 2 >10M),"Top-Reel 1,51 Mio Likes; 30-Tage-Views 10,84M, 90-Tage 16,24M (AvatarFactory)",VERIFIED,"Bio: ""Birthed by @blurstudios.ai""; TIME-Artikel & startupspells bestaetigen KI-Figur (Veo 3)","Veo 3 (lt. startupspells), LLM-Skripte",E,nein,"ja: Artlist-Affiliate-Link in Bio; Brand Deals (Kurt Geiger, Papi Steak), Cameo, $30-PDF (lt. Presse/Analysen)",https://artlist.io/artlist-70446/?artlist_aid=granny-spills_4134&utm_source=affiliate_p&utm_medium=granny-spills_4134&utm_campaign=granny-spills_4134,https://www.instastatistics.com/grannyspills | https://avatarfactory.io/ai-influencers/granny-spills | https://startupspells.com/p/grannyspills-ai-influencer-1m-instagram-followers | https://time.com/7329699/ai-influencers-tiktok-granny-spills/,2026-09-26,"Legacy-Kontext (>12 Monate). Wachstum verlangsamt: ca. +116K in 90 Tagen (+5,7%). Benchmark fuer AI-Grandma-Format; zahlreiche Nachahmer."
auntieauroraa,https://www.instagram.com/auntieauroraa/,Instagram,AI Baby/Character,AI Grandma/Auntie (Money-Talk),US/EN,UNKNOWN (aeltestes bekanntes Reel 2025-09-23),<= 2025-09-23 (Reel DO9g21NkmeI),ESTIMATED (Shortcode-Datum),120303,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),120774 (2026-08-27),121256 (2026-07-28),121739 (2026-06-28),UNKNOWN,AvatarFactory-Tagesreihe 2026-06-21..09-18,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",52,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"0.2 (ESTIMATED aus letzten 6 Posts, 2026-01-31..2026-09-02)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DTYiD4qEtdU/,751000,2026-01-11,https://www.instagram.com/reel/DTYiD4qEtdU/|751K|2026-01-11; https://www.instagram.com/reel/DUKQ2WUAmeu/|268K|2026-01-31; https://www.instagram.com/reel/DVJ705sEoB3/|162K|2026-02-24; https://www.instagram.com/reel/DRX4OtqEq2A/|148K|2025-11-22; https://www.instagram.com/reel/DO9g21NkmeI/|124K|2025-09-23,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",0 (Top-5 lt. AvatarFactory <1M),"30-Tage-Views nur 2,4K (AvatarFactory) – Account praktisch inaktiv",VERIFIED,"Bio: ""Birthed by @blurstudios.ai""; Captions taggen @higgsfield.ai",Higgsfield,C,nein,keine sichtbar (Kontakt-Mail blurstudios),keiner,https://www.instastatistics.com/auntieauroraa | https://avatarfactory.io/ai-influencers/auntie-aurora,2026-09-26,Schwester-Charakter von Granny Spills (Blur Studios). Leicht schrumpfend (-1.436 in 90 Tagen). Zeigt: Studio-Spin-offs erben keinen Dauer-Momentum.
nananessaa,https://www.instagram.com/nananessaa/,Instagram,AI Baby/Character,AI Grandma (Corporate-Humor),US/EN,UNKNOWN,UNKNOWN,UNKNOWN,116337,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine historischen Snapshots,UNKNOWN,40,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"0.2 (ESTIMATED aus letzten 6 Posts, 2026-01-26..2026-09-02)",UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,letzte Posts max. 1.516 Likes; zuletzt 2026-09-02 gepostet,VERIFIED,"Bio: ""Birthed by @blurstudios.ai""; Caption taggt @higgsfield.ai",Higgsfield,"C,D",nein,keine sichtbar,keiner,https://www.instastatistics.com/nananessaa | https://avatarfactory.io/ai-influencers/nana-nessa,2026-09-26,"116K Follower mit nur 40 Posts (Klasse C+D), aber Alter unbekannt; wenig aktuelle Aktivitaet."
blurstudios.ai,https://www.instagram.com/blurstudios.ai/,Instagram,AI Baby/Character,AI-Character-Studio (Granny Spills u.a.),US/EN,UNKNOWN,UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-01-13),UNKNOWN,7881,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,9,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"0.2 (ESTIMATED aus letzten 6 Posts, 2026-01-13..2026-08-22)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DTdwIm-EuUd/,"21060000 (Collab-Reel, Views lt. AvatarFactory auf grannyspills)",2026-01-13,UNKNOWN,THIRD-PARTY OBSERVED,mind. 3 (Collab-Reels mit grannyspills),Collab-Posts mit Granny Spills: 1.511.869 / 954.115 / 763.011 Likes bei nur 7.881 Followern (Collab-Mechanik),VERIFIED,"Bio: ""Birthing the world's most influential AI personalities.""",UNKNOWN,-,"ja (technisch, via Collab-Posts)",Studio-Website blurstudios.ai,http://blurstudios.ai,https://www.instastatistics.com/blurstudios.ai,2026-09-26,"Kein eigenstaendiger Nischen-Account, aber belegt Studio-Modell hinter AI-Grandmas (Granny Spills, Auntie Aurora, Nana Nessa)."
grandmaroseremedies,https://www.instagram.com/grandmaroseremedies/,Instagram,AI Baby/Character,AI Grandma Remedies / Fitness-Oma (92 J.),US/EN,"UNKNOWN (sehr wahrscheinlich jung: 53 Posts, alle bekannten Top-Reels Sep 2026)",UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-09-19),UNKNOWN,154788,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN (fruehester Snapshot 2026-09-11: 82000),UNKNOWN,UNKNOWN,UNKNOWN,"AvatarFactory-Snapshots: 2026-09-11=82000, 09-14=98000, 09-19=103227, 09-23=120000; Instastatistics 09-26=154788","THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",53,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"5.3 (ESTIMATED aus letzten 6 Posts, 2026-09-19..2026-09-25)","UNKNOWN (30-Tage-Views gesamt 25,67M; Ø/Tag 856K)",UNKNOWN,https://www.instagram.com/reel/Dc_i-5jB1fR/,14260000,2026-09-07,https://www.instagram.com/reel/Dc_i-5jB1fR/|14.26M|2026-09-07; https://www.instagram.com/reel/DdmI7zssXKl/|5.17M|2026-09-22; https://www.instagram.com/reel/Ddord3ZBNCl/|1.35M|2026-09-23; https://www.instagram.com/reel/DdSxe7vvCKR/|1.15M|2026-09-15; https://www.instagram.com/reel/DdhCL7eRj_Y/|826K|2026-09-20,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)","4 (1x >10M, 1x >5M)",Top-Reel 745.916 Likes; Views/Stunde bis 136K (AvatarFactory),LIKELY,"Gelistet im AvatarFactory-Verzeichnis von KI-Influencern (dort: keine Selbstauskunft); Persona ""92-jaehrige"" mit Push-ups, Formatgleichheit zu anderen AI-Grandma-Remedy-Accounts; keine offizielle Bestaetigung",UNKNOWN,"C,E",nein (bereits >100K),"ja: Rezeptbuch/Remedy-Book via Link (muwo.us/?ref=granny), Comment-to-DM-Funnel (""Comment BOOK/Turmeric"")",https://muwo.us/?ref=granny,https://www.instastatistics.com/grandmaroseremedies | https://avatarfactory.io/ai-influencers/grandma-rose,2026-09-26,STAERKSTES MOMENTUM im Cluster: ca. +73K Follower (+89%) in 15 Tagen (82K->155K). Millionen-Reels alle 2026-09. KI-Status nur LIKELY.
grannyruthsredflags,https://www.instagram.com/grannyruthsredflags/,Instagram,AI Food,AI Grandma Healthy Recipes / Grocery-Red-Flags,US/EN,UNKNOWN,UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-09-24),UNKNOWN,134184,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN (fruehester Snapshot 2026-09-10: 50000),UNKNOWN,UNKNOWN,UNKNOWN,"AvatarFactory: 2026-09-10=50000, 09-19=54000, 09-20=75000, 09-21=106000, 09-22=119929; Instastatistics 09-26=134184","THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",144,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"15.6 (ESTIMATED aus letzten 6 Posts, 2026-09-24..2026-09-26)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DdeoZQ6S_JI/,6040000,2026-09-19,https://www.instagram.com/reel/DdeoZQ6S_JI/|6.04M|2026-09-19; https://www.instagram.com/reel/Ddggm2Zyuu8/|319K|2026-09-20; https://www.instagram.com/reel/DbEIoIGP8HQ/|181K|2026-07-21; https://www.instagram.com/reel/DcCiMeyj7xr/|159K|2026-08-14; https://www.instagram.com/reel/DcbUSg2B1JW/|151K|2026-08-24,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",1 (>5M),Ein Reel (Avocado-Potato-Buns) loeste Sprung von 54K auf 120K in 3 Tagen aus,LIKELY,"AvatarFactory-KI-Influencer-Verzeichnis (ohne Selbstauskunft); Persona ""78-year-old grandma""",UNKNOWN,E,ja (Reel 6M bei ~54K Followern zum Postzeitpunkt),"ja: ""100 Healthy Desserts Recipes Book"" via Linktree",https://linktr.ee/grannyruth?utm_source=linktree_profile_share&ltsid=eba94464-d675-47a8-bad7-17c8d3661fd4,https://www.instastatistics.com/grannyruthsredflags | https://avatarfactory.io/ai-influencers/granny-ruths-red-flags,2026-09-26,"+84K Follower (+168%) in 16 Tagen, ausgeloest durch ein einzelnes 6M-Reel. Paradebeispiel fuer Single-Reel-Breakout."
yukis.ancient.kitchen,https://www.instagram.com/yukis.ancient.kitchen/,Instagram,AI Food,AI Grandma Remedies (Kampo/Japan),US/EN (japanische Persona),UNKNOWN,UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-09-17),UNKNOWN,130513,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,AvatarFactory: 2026-09-08=118000 -> 09-20=125000; Instastatistics 09-26=130513,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",50,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"5.8 (ESTIMATED aus letzten 6 Posts, 2026-09-17..2026-09-23)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/Da7NOPGMi52/,3960000,2026-07-18,https://www.instagram.com/reel/Da7NOPGMi52/|3.96M|2026-07-18; https://www.instagram.com/reel/Da7Qqftsge7/|2.84M|2026-07-18; https://www.instagram.com/reel/DbKNH_6MJR_/|356K|2026-07-24; https://www.instagram.com/reel/DcNq4TxMCly/|119K|2026-08-19; https://www.instagram.com/reel/DcQJE8Xs8No/|67.8K|2026-08-20,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",2,"90-Tage-Views 7,58M, 30-Tage nur 54,5K -> Momentum abgeflacht",LIKELY,"AvatarFactory-KI-Influencer-Verzeichnis (ohne Selbstauskunft); ""81 y/o Kampo healer""-Persona",UNKNOWN,"C,E",nein,nicht sichtbar (kein Link),keiner,https://www.instastatistics.com/yukis.ancient.kitchen | https://avatarfactory.io/ai-influencers/grandma-yuki,2026-09-26,Zwei Millionen-Reels am 2026-07-18; danach deutliche Abkuehlung. Zeigt Kurzlebigkeit einzelner Breakouts.
grannybeatrice_,https://www.instagram.com/grannybeatrice_/,Instagram,AI Baby/Character,AI Grandma Stories/Tips,US/EN,UNKNOWN,UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-09-14),UNKNOWN,101259,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),UNKNOWN,UNKNOWN,UNKNOWN,"95771 (2026-05-19, ca. 130 Tage)",Instastatistics-Snapshot 2026-05-19=95771; AvatarFactory 2026-09-16=100606,"THIRD-PARTY OBSERVED (Instastatistics) / THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",264,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"3.1 (ESTIMATED aus letzten 6 Posts, 2026-09-14..2026-09-25)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/Dc5E1ZnBsyO/,110000,2026-09-05,https://www.instagram.com/reel/Dc5E1ZnBsyO/|110K|2026-09-05; https://www.instagram.com/reel/Db_aayazMeu/|70.1K|2026-08-13; https://www.instagram.com/reel/DcXsmyLIYf8/|26K|2026-08-23; https://www.instagram.com/reel/DdMMJfpIrI2/|15.6K|2026-09-12; https://www.instagram.com/reel/DcHImfgoCF5/|13.5K|2026-08-16,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",0 (Top-5 lt. AvatarFactory <1M),UNKNOWN,LIKELY,AvatarFactory-KI-Influencer-Verzeichnis (ohne Selbstauskunft),UNKNOWN,-,nein,nur Facebook-Link,https://www.facebook.com/share/1CNf4x5rmk/,https://www.instastatistics.com/grannybeatrice_ | https://avatarfactory.io/ai-influencers/granny-beatrice,2026-09-26,"Stagnation: +5,7% in ~130 Tagen. Kontrastfall zu Grandma Rose/Ruth."
grandmagigiofficial,https://www.instagram.com/grandmagigiofficial/,Instagram,AI Baby/Character,AI Grandma Style 45+,US/EN,UNKNOWN,UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-09-23),UNKNOWN,338435,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),331987 (2026-08-27),326896 (2026-07-28),320609 (2026-06-28),UNKNOWN,AvatarFactory-Tagesreihe 2026-06-21..09-18,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",631,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"12.9 (ESTIMATED aus letzten 6 Posts, 2026-09-23..2026-09-26)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DV9P6ITDz4F/,870000,2026-03-16,https://www.instagram.com/reel/DV9P6ITDz4F/|870K|2026-03-16; https://www.instagram.com/reel/DXDIfI6j8uy/|442K|2026-04-12; https://www.instagram.com/reel/DXcglzUjVby/|277K|2026-04-22; https://www.instagram.com/reel/DVZRDfXkmbQ/|246K|2026-03-02; https://www.instagram.com/reel/DY2yy0gBlW9/|215K|2026-05-27,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",0 (Top-5 lt. AvatarFactory <1M),UNKNOWN,LIKELY,"AvatarFactory-Verzeichnis (dort: KI-Status ""nicht oeffentlich belegt"")",UNKNOWN,-,nein,"ja: stan.store (Packliste/Lead-Magnet, Comment-Keywords)",https://stan.store/grandmagigi,https://www.instastatistics.com/grandmagigiofficial | https://avatarfactory.io/ai-influencers/grandma-gigi,2026-09-26,"Legacy (631 Posts), gleichmaessiges Wachstum ca. +18K/90 Tage (+5,6%). Grenzfall Fashion/Character."
hua_jin123,https://www.instagram.com/hua_jin123/,Instagram,AI Baby/Character,AI Grandma Remedies (asiatisches Paar),US/EN,UNKNOWN,UNKNOWN (nur letzte 6 Posts sichtbar; aeltester davon 2026-09-24),UNKNOWN,1027991,2026-09-26,THIRD-PARTY OBSERVED (Instastatistics Live-Abruf 2026-09-26),1004313 (2026-08-27),UNKNOWN (fruehester Snapshot 2026-08-12: 932021),UNKNOWN,UNKNOWN,AvatarFactory-Tagesreihe 2026-08-12..09-18,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",454,THIRD-PARTY OBSERVED (Instastatistics 2026-09-26),"25.9 (ESTIMATED aus letzten 6 Posts, 2026-09-24..2026-09-25)",UNKNOWN,UNKNOWN,https://www.instagram.com/reel/Db5lgk5BjRF/,2630000,2026-08-11,https://www.instagram.com/reel/Db5lgk5BjRF/|2.63M|2026-08-11; https://www.instagram.com/reel/Db3Pp-YNEA3/|441K|2026-08-10; https://www.instagram.com/reel/DcuNc8kifEV/|321K|2026-08-31; https://www.instagram.com/reel/Db8QXbqS5Tq/|264K|2026-08-12; https://www.instagram.com/reel/DckL4Eqj4mF/|159K|2026-08-28,"THIRD-PARTY OBSERVED (AvatarFactory-Scanner, taegliche Snapshots, Seite abgerufen 2026-09-26)",1,UNKNOWN,VERIFIED,"Captions mit Offenlegungs-Hashtag ""#syntheticperformer #ad""",UNKNOWN,E,nein,"ja: Amla-Produkt-Link (linktw.in), ""Ancient Remedies Bible"" Comment-to-DM, #ad",https://linktw.in/RJscMU,https://www.instastatistics.com/hua_jin123 | https://avatarfactory.io/ai-influencers/hua-and-jin,2026-09-26,"~+96K in 45 Tagen (932K->1,03M). Grosser, noch wachsender Remedies-Account mit Produkt-Affiliate."
