handle,url,plattform,nische_cluster,unter_nische,land_sprache,account_alter_oder_start,erstes_sichtbares_posting,start_datenqualitaet,follower_heute,follower_heute_datum,follower_heute_dq,follower_vor_30d,follower_vor_60d,follower_vor_90d,follower_vor_120d,follower_historie_quelle,follower_historie_dq,posts,posts_dq,posts_pro_woche,median_reel_views,median_dq,top_reel_url,top_reel_views,top_reel_datum,top5_reels,top_reels_dq,anzahl_reels_ueber_1m_bekannt,engagement_hinweis,ai_status,ai_beleg,ai_tools,klasse,emerging_outlier,affiliate_oder_monetarisierung_sichtbar,link_in_bio,quelle_urls,pruefdatum,notizen
chloe.vs.history,https://www.instagram.com/chloe.vs.history/,Instagram,AI History / Time Travel,"AI-Persona Time-Travel-Vlog (""I tried being a [job] in [year]"")",UK-Creator / Englisch,Launch Feb 2026 (~7-8 Monate),2026-02 (Presse),VERIFIED (Presse: Sky News via Yahoo/TheCooldown 2026-05-05; avatarfactory),711000-720000,2026-09-18 (avatarfactory-Scan),THIRD-PARTY OBSERVED,"UNKNOWN (Scan: +9K in 13 Tagen, +4K in 6 Tagen)",UNKNOWN,UNKNOWN,UNKNOWN (naechster datierter Punkt: 547000 am 2026-04-01),"2026-04-01: 547K / 21 Posts (vuela.ai); Snippet undatiert: 639K / 50 Posts; Presse ~Mai/Juni 2026: 624K IG / 100,9K TikTok / 334K YT (avatarfactory/Suchzusammenfassung); 2026-09-18: 711-720K",THIRD-PARTY OBSERVED (Datumsabstaende grob; Monatswachstum seit Apr ~+30K/Monat ESTIMATED),50 (Snippet-Zeitpunkt),THIRD-PARTY OBSERVED,~2 (14 Reels in 7-Tage-Scan-Fenster lt. avatarfactory; ESTIMATED),"UNKNOWN (30d-Views gesamt 2,43M; 90d 6,67M)",THIRD-PARTY OBSERVED (Aggregat),,4300000,"2026 (Titanic-Warnung, Datum unbekannt)",Titanic-Warnung|4300000|UNKNOWN; Battle of Hastings|1180000|2026-08-08; Fall of Constantinople|1040000|2026-08-20; Marie Antoinette Q&A|835000|2026-07-15; Jurassic|589000|2026-08-02,"THIRD-PARTY OBSERVED (avatarfactory, vuela)",3,"Hastings 39.154 Likes; Constantinople 39.491 Likes; 30d-Views 2,43M (81K/Tag)",VERIFIED,"Presse: Sky News enttarnt Creator Jonathan Laramy (Mai 2026), KI-Persona",PAI (Utopai Studios) lt. avatarfactory; Vuela nennt Grok Imagine als Nachbau-Tool,"B,C,E",ja (21 Posts -> 547K bis 2026-04-01),"ja: Talent-Mgmt Underscore Talent, Merch chloevshistory.store (avatarfactory)",chloevshistory.store (lt. avatarfactory),https://avatarfactory.io/ai-influencers/chloe-vs-history | https://vuela.ai/blog/ai-time-travel-547k-followers-videos-with-ai | https://www.thecooldown.com/green-business/chloe-history-influencer-ai-reveal/ | https://www.hola.com/us/lifestyle/20260626909651/ai-history-influencer-tiktok-debate/ | https://www.instagram.com/chloe.vs.history/,2026-09-26,"Staerkster junger Account im Cluster; Wachstum verlangsamt sich (Apr->Sep ca. +170K). Klasse C galt beim Snippet-Stand (50 Posts), aktueller Post-Count unbekannt."
histairy_films,https://www.instagram.com/histairy_films/,Instagram,AI History / POV,"""POV: You wake up in/as..."" historische Szenen",Englisch,aktiv spaetestens Feb 2025,"<=2025-02 (Reel DFpQnr_NGMU Coal-Miner-POV, Shortcode-Zeitraum)",ESTIMATED (Shortcode-Datierung),910000,2026-09-26 (Instagram-Embed),VERIFIED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,"Snippet undatiert: 941K; Embed 2026-09-26: 910K (moeglicher Rueckgang, Snippet-Datum unbekannt)",THIRD-PARTY OBSERVED (undatiert),UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,https://www.instagram.com/reel/DH4EpsCNSJN/,UNKNOWN (8.872 Likes),~2025-03/04 (Shortcode),https://www.instagram.com/reel/DH4EpsCNSJN/|UNKNOWN (8872 Likes)|~2025,VERIFIED (Likes via Embed),0 bekannt,,VERIFIED,"Bio: 'AI Content Creator ... History', Hashtags #aiart #aifilm",UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/histairy_films/ | https://www.instagram.com/reel/DH4EpsCNSJN/ | https://www.autoclips.app/ai-history-pov-videos,2026-09-26,Legacy/Kontext (>12 Monate). Bio: >1 Mrd. Views plattformuebergreifend (SELF-REPORTED). Laut autoclips einer der Copycats nach @timetravellerpov (Feb 2025).
epiclegends.ai,https://www.instagram.com/epiclegends.ai/,Instagram,AI History / Cinematic,Antike Geschichten neu inszeniert,Englisch,UNKNOWN,UNKNOWN,UNKNOWN,212000,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,180,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,"Name '.ai', Profilname 'History AI Films', Bio 'ancient stories reimagined with AI'",UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/epiclegends.ai/,2026-09-26,Alter unbekannt; keine Reel-Views.
historyrevivedofficial,https://www.instagram.com/historyrevivedofficial/,Instagram,AI History,Historische Szenen 'zum Leben erweckt',Englisch,UNKNOWN,UNKNOWN,UNKNOWN,807000,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Bio: 'bringing history back to life with AI',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/historyrevivedofficial/,2026-09-26,"Grosser Account, Alter unbekannt -> Kontext."
historyvideo.ai,https://www.instagram.com/historyvideo.ai/,Instagram,AI History / Edu,AI-Geschichts-Erklaervideos,Englisch,UNKNOWN,UNKNOWN,UNKNOWN,637000,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Bio: 'free quality education through AI-generated videos',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/historyvideo.ai/,2026-09-26,Alter unbekannt.
povof.history,https://www.instagram.com/povof.history/,Instagram,AI History / POV,Historische Momente per AI nachgestellt,Englisch,UNKNOWN,UNKNOWN,UNKNOWN,57000,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,"Bio: 'Historical Moments, Recreated by AI'",UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/povof.history/,2026-09-26,
worldhistoryai,https://www.instagram.com/worldhistoryai/,Instagram,AI History,AI-Geschichtsbilder + Infos,Englisch,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Profiltitel: 'AI Generated Historical Images & Information',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/worldhistoryai/,2026-09-26,Keine Zahlen im Snippet.
ai.timetravelers,https://www.instagram.com/ai.timetravelers/,Instagram,AI Time Travel,Taegliche AI-Zeitreise-Clips,Englisch,UNKNOWN,UNKNOWN,UNKNOWN,49000,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,vuela.ai 2026-04-01: 49K; Snippet undatiert: 49K / 46 Posts -> Stagnation wahrscheinlich,THIRD-PARTY OBSERVED,46,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Bio: 'AI time travel Daily',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/ai.timetravelers/ | https://vuela.ai/blog/ai-time-travel-547k-followers-videos-with-ai,2026-09-26,"Knapp unter Klasse D (<50 Posts, >50K)."
stelfiett,https://www.instagram.com/stelfiett/,Instagram,AI Time Travel,'Stelfies' - Selfies in historischen Momenten,Englisch,UNKNOWN,UNKNOWN,UNKNOWN,26000,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,vuela.ai 2026-04-01: 26K; Snippet: 26K -> flach,THIRD-PARTY OBSERVED,64,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,"Bio: 'powered by an Artist, an AI and Photoshop'",AI + Photoshop (SELF-REPORTED),-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/stelfiett/ | https://vuela.ai/blog/ai-time-travel-547k-followers-videos-with-ai,2026-09-26,"Aelteres Stelfie-Konzept (Bild-Format), Kontext."
nep.ai.history,https://www.instagram.com/nep.ai.history/,Instagram,AI History (lokal),Nepal-Geschichte per AI,Nepal / Nepali-Englisch,UNKNOWN,UNKNOWN,UNKNOWN,7350,Such-Snippet undatiert (abgerufen 2026-09-26),THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,keine datierten Snapshots gefunden,UNKNOWN,158,THIRD-PARTY OBSERVED,UNKNOWN,UNKNOWN,UNKNOWN,,UNKNOWN,UNKNOWN,,UNKNOWN,0 bekannt,,VERIFIED,Bio: 'Time travel through Nepal's history using AI',UNKNOWN,-,nein,UNKNOWN,UNKNOWN,https://www.instagram.com/nep.ai.history/,2026-09-26,Lokalisierungs-Unter-Nische (Laender-Geschichte).
